TOP,MID,JUNGLE,ADC, SUPPORT
Lissandra,Orianna,Vi,Varus,Morgana
Nasus,Vel'Koz,Lee Sin,Ezreal,Leona
Vladimir,Irelia,Shaco,Sivir,Sona
Shen,Zed,Malphite,Tristana,LeBlanc
Akali,Sona,Wukong,Caitlyn,Janna
Jayce,Orianna,Malphite,Ezreal,Taric
Jarvan IV,Annie,Lee Sin,Graves,Leona
Irelia,Xerath,Pantheon,Quinn,Leona
Gangplank,Fizz,Gragas,Jynx,Morgana
Nasus,Anivia,Shaco,Jarvan IV,Miss Fortune
Ryze,Cho'Gath,Rek'Sai,Draven,Volibear
Malphite,Ezreal,Sejuani,Vayne,Thresh
Akali,Heimerdinger,Pantheon,Caitlyn,Leona
Riven,Zyra,Rammus,Tristana,Thresh
Yasuo,Nidalee,Vi,Ashe,Janna
Malphite,Katarina,Wukong,Graves,Thresh
Riven,Lux,Rek'Sai,Ezreal,Nami
Garen,Xerath,Malphite,Lucian,Leona
Aatrox,Ahri,Amumu,Caitlyn,Leona
Shen,Yasuo,Renga,Kog'Maw,Volibear
Pantheon,Syndra,Warwick,Miss Fortune,Leona
Annie,Lux,Jarvan IV,Ezreal,Blitzcrank
Cho'Gath,Zed,Vi,Jynx,Thresh
Vladimir,Lux,Udyr,Lucian,Thresh
Dr. Mundo,Syndra,Wukong,Ashe,Blitzcrank
Yasuo,Lissandra,Shaco,Cho'Gath,Varus
Malphite,Ezreal,Riven,Sona,Corki
Nasus,Fizz,Sion,Draven,Thresh
Darius,Shaco,Gangplank,Lucian,Taric
Maokai,Zed,Sejuani,Lucian,Thresh
Warwick,Fizz,Udyr,Ezreal,Leona
Swain,Akali,Vi,Corki,Thresh
Cho'Gath,Zed,Master Yi,Miss Fortune,Blitzcrank
Nidalee,Lissandra,Jarvan IV,Lucian,Thresh
Wukong,Cho'Gath,Lee Sin,Corki,Leona
Fiora,LeBlanc,Dr. Mundo,Ezreal,Nami
Cassiopeia,Ziggs,Vi,Varus,Teemo
Renga,Kassadin,Cho'Gath,Jynx,Blitzcrank
Kassadin,Lux,Rek'Sai,Ezreal,Janna
Fiora,Katarina,Warwick,Kalista,Janna
Graves,LeBlanc,Nasus,Jynx,Leona
Fiora,Yasuo,Vi,Vayne,Thresh
Gangplank,Ezreal,Vi,Twitch,Blitzcrank
Irelia,Ahri,Renga,Jynx,Janna
Jayce,Ahri,Vi,Jynx,Sona
Pantheon,Malzahar,Diana,Twitch,Janna
Annie,LeBlanc,Warwick,Jynx,Nami
Aatrox,Swain,Nocturne,Tristana,Taric
Tryndamere,Lux,Fiddlesticks,Lucian,Morgana
Zed,Heimerdinger,Warwick,Caitlyn,Blitzcrank
Nasus,Anivia,Udyr,Ezreal,Zyra
Jax,Orianna,Master Yi,Tristana,Thresh
Tryndamere,Orianna,Xin Zhao,Vayne,Leona
Tryndamere,Ziggs,Rek'Sai,Quinn,Nami
Renekton,Yasuo,Fiddlesticks,Graves,Annie
Tryndamere,Wukong,Pantheon,Vayne,Thresh
Cho'Gath,Morgana,Jarvan IV,Ezreal,Soraka
Nasus,Syndra,Trundle,Graves,Vel'Koz
Corki,LeBlanc,Evelynn,Sivir,Nami
Yasuo,Anivia,Lee Sin,Ashe,Lissandra
Volibear,LeBlanc,Nocturne,Graves,Leona
Irelia,Teemo,Pantheon,Caitlyn,Thresh
Gangplank,Katarina,Maokai,Kalista,Janna
Shyvana,Cassiopeia,Rek'Sai,Lucian,Sona
Irelia,LeBlanc,Lee Sin,Jynx,Braum
Riven,Annie,Hecarim,Ezreal,Fiddlesticks
Pantheon,Heimerdinger,Warwick,Lucian,Sona
Fiora,Ziggs,Nocturne,Draven,Soraka
Darius,Jayce,Nautilus,Vayne,Sona
Annie,Nidalee,Xin Zhao,Graves,Thresh
Garen,Ryze,Amumu,Ezreal,Nami
Swain,Xerath,Hecarim,Lucian,Karma
Vladimir,Ezreal,Lee Sin,Vayne,Blitzcrank
Jayce,Xerath,Jax,Ezreal,Leona
Rumble,Veigar,Volibear,Caitlyn,Blitzcrank
Cassiopeia,Fizz,Vi,Caitlyn,Blitzcrank
Riven,Fiddlesticks,Jarvan IV,Graves,Thresh
Teemo,Xin Zhao,Warwick,Ashe,Jarvan IV
Renekton,LeBlanc,Rammus,Vayne,Nami
Gangplank,Katarina,Xin Zhao,Lucian,Alistar
Shen,Katarina,Shaco,Miss Fortune,Alistar
Tryndamere,Ziggs,Jarvan IV,Miss Fortune,Braum
Wukong,Morgana,Vi,Caitlyn,Thresh
Jarvan IV,Cassiopeia,Trundle,Caitlyn,Vel'Koz
Darius,Katarina,Irelia,Tristana,Nunu
Maokai,Kassadin,Shyvana,Ashe,Janna
Irelia,Annie,Nasus,Jynx,Sona
Xin Zhao,Akali,Rek'Sai,Ezreal,Nautilus
Garen,Lissandra,Warwick,Ashe,Lux
Dr. Mundo,Xerath,Wukong,Lucian,Thresh
Riven,Kennen,Nunu,Ashe,Heimerdinger
Riven,Yasuo,Nautilus,Lucian,Thresh
Darius,Annie,Sejuani,Graves,Janna
Sion,Diana,Olaf,Draven,Blitzcrank
Sion,Zed,Jarvan IV,Ezreal,Morgana
Lissandra,Yasuo,Fiddlesticks,Jynx,Lux
Nasus,Cho'Gath,Volibear,Leona,Miss Fortune
Fiora,Twisted Fate,Udyr,Jynx,Morgana
Wukong,Lux,Rammus,Tristana,Volibear
Nasus,Swain,Nocturne,Varus,Morgana
Riven,Syndra,Nautilus,Draven,Soraka
Renekton,Ahri,Lee Sin,Twitch,Janna
Nasus,Nidalee,Kha'Zix,Sivir,Braum
Tryndamere,Lux,Renga,Caitlyn,Janna
Quinn,Twisted Fate,Master Yi,Graves,Fiddlesticks
Fiora,Twisted Fate,Rek'Sai,Ezreal,Nami
Singed,Zed,Udyr,Draven,Blitzcrank
Trundle,Yasuo,Cho'Gath,Graves,Thresh
Gnar,Lissandra,Udyr,Tristana,Thresh
Irelia,Lux,Rammus,Draven,Morgana
Shen,Akali,Xin Zhao,Graves,Braum
Lissandra,Vel'Koz,Aatrox,Lucian,Annie
Vladimir,Zed,Amumu,Kalista,Morgana
Diana,Zed,Hecarim,Graves,Sona
Nocturne,Lux,Lee Sin,Vayne,Blitzcrank
Tryndamere,Syndra,Shaco,Ashe,Morgana
Gnar,Karma,Sejuani,Ezreal,Janna
Nidalee,Kennen,Warwick,Twitch,Janna
Wukong,Katarina,Udyr,Caitlyn,Shen
Sion,Katarina,Lee Sin,Caitlyn,Soraka
Renekton,Diana,Jarvan IV,Caitlyn,Annie
Kayle,Lux,Xin Zhao,Quinn,Volibear
Irelia,Zed,Vi,Caitlyn,Leona
Nocturne,Morgana,Shyvana,Lucian,Nami
Darius,Azir,Xin Zhao,Tristana,Thresh
Gangplank,Lissandra,Xin Zhao,Caitlyn,Leona
Kassadin,Vel'Koz,Warwick,Nami,Vayne
Riven,Swain,Vi,Graves,Malphite
Gnar,Sejuani,Master Yi,Tryndamere,Caitlyn
Vladimir,Katarina,Amumu,Graves,Blitzcrank
Riven,Zed,Lee Sin,Lucian,Nami
Tryndamere,Orianna,Shaco,Jynx,Leona
Vladimir,Katarina,Shaco,Tristana,Morgana
Dr. Mundo,Veigar,Sejuani,Twitch,Sona
Jax,Ziggs,Master Yi,Graves,Blitzcrank
Irelia,Malzahar,Evelynn,Jynx,Taric
Irelia,Katarina,Jarvan IV,Miss Fortune,Braum
Darius,Lux,Xin Zhao,Jynx,Sona
Jarvan IV,Morgana,Shaco,Ezreal,Soraka
Fiora,Swain,Xin Zhao,Vayne,Leona
Shyvana,Ziggs,Renga,Kalista,Morgana
Vladimir,Malzahar,Master Yi,Vayne,Sona
Renga,Morgana,Master Yi,Heimerdinger,Ashe
Teemo,Xerath,Vi,Sivir,Lux
Gnar,Kayle,Master Yi,Jynx,Thresh
Singed,Malzahar,Shyvana,Miss Fortune,Taric
Jax,Twisted Fate,Pantheon,Morgana,Draven
Shen,Katarina,Jarvan IV,Ezreal,Nami
Jayce,Morgana,Shaco,Corki,Blitzcrank
Mordekaiser,Viktor,Pantheon,Graves,Sona
Malphite,Talon,Jarvan IV,Caitlyn,Thresh
Lissandra,Kassadin,Master Yi,Ezreal,Taric
Malphite,Kennen,Rek'Sai,Caitlyn,Leona
Ryze,Katarina,Xin Zhao,Tristana,Leona
Nidalee,Karthus,Amumu,Ashe,Morgana
Wukong,Morgana,Warwick,Draven,Soraka
Teemo,Anivia,Malphite,Kalista,Braum
Lee Sin,Yasuo,Fiddlesticks,Tristana,Nami
Nidalee,Cassiopeia,Nunu,Caitlyn,Morgana
Kassadin,Ahri,Shaco,Ezreal,Blitzcrank
Rumble,Zed,Jarvan IV,Graves,Sona
Olaf,Zed,Rammus,Jynx,Braum
Pantheon,LeBlanc,Jarvan IV,Caitlyn,Leona
Rumble,Annie,Rek'Sai,Sivir,Leona
Kayle,Morgana,Master Yi,Varus,Leona
Wukong,Kassadin,Shaco,Draven,Sona
Akali,Ahri,Kha'Zix,Graves,Blitzcrank
Diana,Zed,Udyr,Ezreal,Sona
Pantheon,LeBlanc,Fiddlesticks,Corki,Leona
Quinn,Lissandra,Rammus,Jynx,Thresh
Nasus,Katarina,Rek'Sai,Ashe,Morgana
Cho'Gath,Yasuo,Udyr,Quinn,Blitzcrank
Malphite,Annie,Gragas,Vayne,Thresh
Akali,Jarvan IV,Warwick,Ashe,Vel'Koz
Karma,Syndra,Nocturne,Morgana,Ezreal
Darius,Akali,Renga,Lucian,Taric
Mordekaiser,Talon,Warwick,Vayne,Leona
Renekton,Karthus,Lee Sin,Caitlyn,Janna
Lissandra,Yasuo,Jarvan IV,Jynx,Blitzcrank
Fiora,Azir,Xin Zhao,Jynx,Thresh
Jarvan IV,Xerath,Warwick,Graves,Leona
Garen,LeBlanc,Shaco,Caitlyn,Malphite
Gangplank,Annie,Jarvan IV,Jynx,Leona
Riven,Ezreal,Master Yi,Draven,Zyra
Olaf,Gangplank,Sejuani,Ezreal,Vel'Koz
Teemo,Katarina,Renga,Tristana,Karma
Vladimir,Ziggs,Vi,Ashe,Morgana
Dr. Mundo,LeBlanc,Wukong,Caitlyn,Nami
Renga,Ahri,Xin Zhao,Graves,Karma
Riven,Katarina,Master Yi,Ezreal,Thresh
Nasus,Syndra,Wukong,Graves,Janna
Tryndamere,Yasuo,Amumu,Tristana,Anivia
Ryze,Nidalee,Skarner,Draven,Thresh
Jarvan IV,Ryze,Nautilus,Kalista,Thresh
Irelia,Karthus,Shyvana,Draven,Braum
Master Yi,Veigar,Vi,Ashe,Sona
Kayle,Yasuo,Tryndamere,Sivir,Morgana
Kassadin,Veigar,Shyvana,Kalista,Karma
Lissandra,Katarina,Zac,Graves,Leona
Jarvan IV,Orianna,Zac,Vayne,Sona
Master Yi,Brand,Nunu,Jynx,Leona
Sion,Ahri,Renga,Graves,Lulu
Rumble,Yasuo,Sion,Graves,Thresh
Riven,Katarina,Volibear,Corki,Lulu
Shyvana,Katarina,Diana,Sivir,Thresh
Dr. Mundo,Kassadin,Vi,Caitlyn,Blitzcrank
Riven,Katarina,Warwick,Lucian,Nunu
Pantheon,Ahri,Warwick,Vayne,Janna
Nasus,Twisted Fate,Amumu,Lucian,Blitzcrank
Jayce,Lux,Master Yi,Caitlyn,Leona
Poppy,Ahri,Fiora,Kalista,Leona
Yasuo,Zyra,Master Yi,Ashe,Leona
Vladimir,Talon,Kha'Zix,Jynx,Sona
Trundle,Karma,Sejuani,Draven,Janna
Tryndamere,Anivia,Renekton,Vayne,Lux
Rek'Sai,Annie,Rammus,Kalista,Morgana
Pantheon,Annie,Amumu,Volibear,Vayne
Ryze,Orianna,Vi,Caitlyn,Taric
Riven,Zed,Lee Sin,Ezreal,Cho'Gath
Fiora,Annie,Shen,Vayne,Blitzcrank
Jax,Morgana,Xin Zhao,Ashe,Heimerdinger
Darius,Heimerdinger,Fiddlesticks,Tristana,Sona
Riven,Katarina,Amumu,Tristana,Blitzcrank
Swain,Anivia,Master Yi,Ezreal,Thresh
Blitzcrank,Ziggs,Volibear,Kalista,Leona
Cho'Gath,Malzahar,Rammus,Twitch,Morgana
Rumble,Diana,Udyr,Corki,Sona
Nidalee,Katarina,Rek'Sai,Ashe,Leona
Riven,Malzahar,Lee Sin,Caitlyn,Leona
Malphite,Ahri,Twitch,Jynx,Morgana
Jax,Vladimir,Rammus,Lucian,Sona
Teemo,Lux,Warwick,Caitlyn,Morgana
Sejuani,Kassadin,Master Yi,Caitlyn,Janna
Soraka,Kayle,Shaco,Lucian,Quinn
Irelia,Katarina,Veigar,Miss Fortune,Morgana
Pantheon,Lee Sin,Kha'Zix,Tristana,Sejuani
Dr. Mundo,Xerath,Xin Zhao,Lucian,Ashe
Teemo,Ahri,Shaco,Tristana,Thresh
Jax,Malzahar,Jarvan IV,Jynx,Sona
Pantheon,Yasuo,Fiddlesticks,Lux,Sivir
Syndra,Fizz,Lee Sin,Jynx,Thresh
Shen,Katarina,Warwick,Graves,Taric
Malphite,Xerath,Warwick,Sivir,Nami
Fiora,Lux,Vi,Jynx,Thresh
Darius,Akali,Kha'Zix,Draven,Leona
Warwick,Ahri,Lee Sin,Tristana,Braum
Nidalee,Akali,Jax,Caitlyn,Blitzcrank
Aatrox,Fizz,Warwick,Tristana,Morgana
Jax,Zed,Warwick,Graves,Thresh
Shen,Ahri,Vi,Jynx,Annie
Sion,Azir,Master Yi,Vayne,Blitzcrank
Gangplank,LeBlanc,Pantheon,Ezreal,Sona
Ezreal,Ahri,Pantheon,Thresh,Ashe
Wukong,Brand,Shaco,Ashe,Sivir
Fiora,Heimerdinger,Lee Sin,Graves,Leona
Jayce,Nidalee,Wukong,Graves,Blitzcrank
Riven,Kayle,Udyr,Morgana,Sivir
Sion,Talon,Jarvan IV,Sona,Ashe
Nidalee,Yasuo,Wukong,Vayne,Leona
Syndra,Cho'Gath,Xin Zhao,Draven,Blitzcrank
Kha'Zix,Ziggs,Fiddlesticks,Draven,Thresh
Zac,Brand,Hecarim,Jynx,Leona
Wukong,Xerath,Pantheon,Caitlyn,Janna
Fiora,LeBlanc,Udyr,Graves,Blitzcrank
Kayle,Annie,Renga,Caitlyn,Thresh
Gnar,Zed,Vi,Vayne,Zilean
Nasus,Ryze,Kha'Zix,Kalista,Janna
Teemo,Annie,Sejuani,Jynx,Thresh
Jarvan IV,Kassadin,Rek'Sai,Caitlyn,Sona
Riven,Ziggs,Fiddlesticks,Vayne,Vel'Koz
Garen,Azir,Fiddlesticks,Vayne,Leona
Fizz,Yasuo,Sejuani,Graves,Janna
Fiora,Zed,Diana,Jynx,Sona
Rumble,LeBlanc,Lee Sin,Kalista,Annie
Cho'Gath,Morgana,Warwick,Caitlyn,Leona
Kayle,Fiddlesticks,Rek'Sai,Vayne,Braum
Gnar,Gangplank,Diana,Kog'Maw,Janna
Azir,Mordekaiser,Rek'Sai,Draven,Thresh
Singed,Brand,Udyr,Varus,Sona
Wukong,Xerath,Jarvan IV,Sivir,Blitzcrank
Lissandra,Yasuo,Shaco,Lucian,Katarina
Tryndamere,Malzahar,Sejuani,Vayne,Ezreal
Cho'Gath,Malzahar,Xin Zhao,Caitlyn,Taric
Teemo,LeBlanc,Jarvan IV,Tristana,Sona
Garen,Cassiopeia,Cho'Gath,Twitch,Nunu
Gangplank,Zed,Lee Sin,Ezreal,Sona
Teemo,Annie,Jarvan IV,Varus,Leona
Gnar,Riven,Shaco,Vayne,Lux
Pantheon,Vel'Koz,Evelynn,Ezreal,Blitzcrank
Irelia,Tristana,Rek'Sai,Kalista,Soraka
Garen,Morgana,Sejuani,Lucian,Zilean
Jayce,Ziggs,Shaco,Ezreal,Thresh
Gangplank,LeBlanc,Vi,Tristana,Morgana
Fizz,Swain,Nocturne,Ashe,Thresh
Nidalee,Riven,Pantheon,Vayne,Nami
Fiora,Malzahar,Nunu,Caitlyn,Thresh
Evelynn,Zed,Vi,Corki,Vel'Koz
Malphite,Veigar,Udyr,Jynx,Thresh
Pantheon,Lux,Amumu,Caitlyn,Thresh
Nidalee,Yasuo,Kha'Zix,Graves,Blitzcrank
Irelia,Azir,Master Yi,Draven,Garen
Gnar,Yasuo,Shaco,Miss Fortune,Leona
Tryndamere,Katarina,Warwick,Caitlyn,Annie
Nidalee,Katarina,Jax,Vayne,Morgana
Riven,Orianna,Lee Sin,Ezreal,Blitzcrank
Alistar,Katarina,Tryndamere,Varus,Janna
Teemo,Fizz,Shen,Caitlyn,Sona
Rumble,Zed,Vi,Draven,Sona
Olaf,Malphite,Jarvan IV,Ashe,Janna
Sion,Yasuo,Teemo,Draven,Annie
Syndra,Twisted Fate,Shyvana,Caitlyn,Leona
Akali,Syndra,Jarvan IV,Tristana,Janna
Teemo,Veigar,Udyr,Graves,Vel'Koz
Riven,Syndra,Olaf,Ezreal,Blitzcrank
Gnar,Zed,Warwick,Ezreal,Thresh
Wukong,Veigar,Lee Sin,Kayle,Draven
Vladimir,Katarina,Sejuani,Caitlyn,Lulu
Irelia,Veigar,Vi,Kalista,Soraka
Renekton,Ahri,Rek'Sai,Vayne,Lulu
Jarvan IV,Zed,Master Yi,Miss Fortune,Lux
Darius,Brand,Rek'Sai,Draven,Morgana
Fiora,Vel'Koz,Poppy,Miss Fortune,Pantheon
Teemo,Zed,Wukong,Kog'Maw,Soraka
Irelia,Azir,Lee Sin,Lucian,Thresh
Azir,Lux,Vi,Graves,Lulu
Renekton,Riven,Amumu,Caitlyn,Nami
Jarvan IV,Jayce,Lee Sin,Graves,Morgana
Fiora,Fizz,Vi,Kalista,Morgana
Nasus,Annie,Lee Sin,Ashe,Thresh
Irelia,LeBlanc,Fiddlesticks,Yasuo,Sona
Sion,Ezreal,Gragas,Vayne,Sona
Renekton,Fizz,Shaco,Jynx,Soraka
Pantheon,Ahri,Sejuani,Jynx,Braum
Vladimir,Nidalee,Fiddlesticks,Ezreal,Morgana
Jax,Lux,Vi,Caitlyn,Vel'Koz
Xin Zhao,Yasuo,Zac,Vayne,Thresh
Maokai,Zed,Jarvan IV,Lucian,Brand
Elise,Mordekaiser,Rek'Sai,Caitlyn,Blitzcrank
Jayce,Ezreal,Elise,Jynx,Nidalee
Rek'Sai,Katarina,Fiora,Lucian,Nami
Gnar,Katarina,Wukong,Caitlyn,Sona
Pantheon,Ahri,Master Yi,Graves,Lux
Skarner,Jayce,Shaco,Annie,Lucian
Malphite,Kassadin,Lee Sin,Caitlyn,Janna
Shaco,Malzahar,Fiddlesticks,Quinn,Blitzcrank
Tryndamere,Katarina,Warwick,Graves,Soraka
Galio,Fizz,Nunu,Vayne,Blitzcrank
Shen,Malzahar,Lee Sin,Graves,Janna
Vi,Malphite,Pantheon,Ashe,Alistar
Renga,Jarvan IV,Fiddlesticks,Kalista,Lux
Alistar,Yasuo,Amumu,Caitlyn,Taric
Dr. Mundo,Malzahar,Maokai,Jynx,Blitzcrank
Karthus,Fizz,Shaco,Jynx,Vel'Koz
Malphite,Katarina,Kha'Zix,Jynx,Nami
Garen,Karthus,Shyvana,Ezreal,Sona
Garen,Zed,Pantheon,Zyra,Jynx
Xin Zhao,Yasuo,Shaco,Twitch,Blitzcrank
Nunu,Syndra,Jarvan IV,Corki,Nami
Jarvan IV,Swain,Sejuani,Caitlyn,Janna
Nidalee,Syndra,Xin Zhao,Tristana,Soraka
Nasus,Katarina,Amumu,Jynx,Leona
Akali,Zed,Udyr,Nami,Ashe
Poppy,Annie,Kha'Zix,Tristana,Leona
Vladimir,Zed,Rammus,Caitlyn,Lulu
Hecarim,Annie,Lee Sin,Jynx,Sona
Yasuo,Fizz,Warwick,Twitch,Annie
Zed,Ryze,Udyr,Tristana,Leona
Gangplank,Orianna,Master Yi,Ashe,Lulu
Pantheon,Xerath,Xin Zhao,Varus,Leona
Nidalee,LeBlanc,Volibear,Ezreal,Blitzcrank
Nasus,Swain,Kayle,Caitlyn,Thresh
Sion,Zed,Warwick,Tristana,Leona
Kayle,Malzahar,Malphite,Jynx,Lulu
Tryndamere,Zed,Amumu,Caitlyn,Vel'Koz
Yorick,Kayle,Shaco,Miss Fortune,Thresh
Darius,Ahri,Hecarim,Jynx,Kayle
Yasuo,Katarina,Lee Sin,Graves,Blitzcrank
Lissandra,Karthus,Amumu,Graves,Janna
Rumble,Zed,Nidalee,Tristana,Janna
Jarvan IV,Syndra,Vi,Jynx,Sona
Vladimir,Cho'Gath,Nocturne,Caitlyn,Taric
